title,description,importance,date,project,notes,isCompleted
todo#1,first element  ,5,01/26/2023,TOP,notes  ,false
todo#2,second element ,1,01/28/2023,ITU,notes  ,true
todo#3,third element ,4,01/31/2023,TOP,notes  ,false
todo#4,fourth element,3,01/27/2023,TOP,notes  ,true
todo#5,fifth element ,2,02/23/2023,ITU,notes  ,false
todo#6,sixth element  ,5,02/02/2023,,notes  ,true
todo#7,seventh element  ,5,03/01/2023,,notes  ,false
todo#8,eigth element  ,2,03/05/2023,TOP,notes  ,false
todo#9,ninth element  ,1,01/26/2023,,notes  ,true
todo#10,tenth element  ,3,01/27/2023,TOP,notes  ,false
todo#11,eleventh element  ,4,01/26/2023,TOP,notes  ,false
todo#12,twelfth element  ,5,01/29/2023,Shop,notes  ,true
todo#13,thirteenth element  ,5,01/24/2023,TOP,notes  ,false
todo#14,fourteenth element  ,2,01/25/2023,TOP,notes  ,false
todo#15,fifteenth element  ,5,01/25/2023,Shop,notes  ,false
todo#16,sixteenth element  ,3,01/23/2023,,notes  ,true
todo#17,seventeenth element  ,5,01/24/2023,,notes  ,false
todo#18,eighteenth element  ,3,01/23/2023,ToDoList,notes  ,false
todo#19,nineteenth element  ,5,01/25/2023,TOP,notes  ,false
todo#20,twentieth element  ,2,01/26/2023,ToDoList,notes  ,false